BEGIN_YEAR,BEGIN_MONTH,EVENT_ID,EVENT_TYPE,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,DEATH_TOLL,TOTAL_INJURIES
2019,03,803719,Thunderstorm Wind,,,FT DAVIS,30.6712,-104.0229,30.6712,-104.0229,0,0
2019,03,816318,Thunderstorm Wind,0.0,0.0,VIBURNUM,37.7206,-91.1454,37.7206,-91.1454,0,0
2019,03,801142,Thunderstorm Wind,10.0,0.0,KISMET,37.06,-120.03,37.0546,-120.0286,0,0
2019,03,806153,Thunderstorm Wind,0.0,0.0,ORRS,32.8207,-94.6117,32.8207,-94.6117,0,0
2019,03,806154,Thunderstorm Wind,0.0,0.0,KILGORE,32.3698,-94.8693,32.3698,-94.8693,0,0
2019,03,806156,Thunderstorm Wind,0.0,0.0,OVERTON,32.2778,-94.9782,32.2778,-94.9782,0,0
2019,03,802990,Thunderstorm Wind,1.0,0.0,(ILN)WILMINGTON ARPK,39.42,-83.82,39.42,-83.82,0,0
2019,03,802991,Thunderstorm Wind,5.0,0.0,REESVILLE,39.47,-83.67,39.47,-83.67,0,0
2019,03,802993,Thunderstorm Wind,30.0,0.0,BLOOMINGTON,39.51,-83.73,39.51,-83.73,0,0
2019,03,802995,Thunderstorm Wind,2.0,0.0,MONTEREY,39.1093,-84.0968,39.1093,-84.0968,0,0
2019,03,802996,Thunderstorm Wind,1.0,0.0,AMELIA SKY HILLS ARP,39.03,-84.17,39.03,-84.17,0,0
2019,03,802997,Thunderstorm Wind,1.0,0.0,BANTAM,38.9941,-84.1601,38.9941,-84.1601,0,0
2019,03,803017,Thunderstorm Wind,1.0,0.0,VERA CRUZ,39.1933,-83.9741,39.1933,-83.9741,0,0
2019,03,803024,Thunderstorm Wind,1.0,0.0,EAST FORK LAKE,39.0042,-84.1173,39.0042,-84.1173,0,0
2019,03,803025,Thunderstorm Wind,1.0,0.0,WILLIAMSBURG,39.0509,-84.0654,39.0509,-84.0654,0,0
2019,03,807840,Thunderstorm Wind,0.0,0.0,SOUTH HAVEN MUNI ARP,42.36,-86.26,42.36,-86.26,0,0
2019,03,805288,Thunderstorm Wind,15.0,0.0,FAGUS,36.5,-90.27,36.5,-90.27,0,0
2019,03,805277,Thunderstorm Wind,10.0,0.0,MATTHEWS,36.77,-89.58,36.6055,-89.82,0,0
2019,03,808441,Thunderstorm Wind,1.0,0.0,NEWTON,31.32,-85.59,31.32,-85.59,0,0
2019,03,816330,Thunderstorm Wind,0.0,0.0,HALIFAX,38.01,-90.49,38.01,-90.49,0,0
2019,03,806157,Thunderstorm Wind,0.0,0.0,(GGG)GREGG CO ARPT L,32.391,-94.714,32.391,-94.714,0,0
2019,03,806158,Thunderstorm Wind,0.0,0.0,HENDERSON,32.1616,-94.79799999999999,32.1616,-94.79799999999999,0,0
2019,03,806159,Thunderstorm Wind,0.0,0.0,MARSHALL,32.5268,-94.3745,32.5268,-94.3745,0,0
2019,03,803031,Thunderstorm Wind,3.0,0.0,PANSY,39.37,-83.94,39.37,-83.94,0,0
2019,03,803032,Thunderstorm Wind,3.0,0.0,FAYETTEVILLE,39.19,-83.93,39.19,-83.93,0,0
2019,03,803037,Thunderstorm Wind,5.0,0.0,PRICETOWN,39.14,-83.8,39.14,-83.8,0,0
2019,03,803040,Thunderstorm Wind,5.0,0.0,MEMPHIS,39.4,-83.6,39.4,-83.6,0,0
2019,03,803043,Thunderstorm Wind,3.0,0.0,BURR OAKS HGTS,39.71,-83.26,39.71,-83.26,0,0
2019,03,803334,Thunderstorm Wind,100.0,0.0,BUENA VISTA,39.42,-83.52,39.42,-83.52,0,0
2019,03,803336,Thunderstorm Wind,2.0,0.0,MILLPORT,39.72,-82.97,39.72,-82.97,0,0
2019,03,803337,Thunderstorm Wind,2.0,0.0,NEW HOLLAND,39.52,-83.22,39.52,-83.22,0,0
2019,03,803338,Thunderstorm Wind,0.0,0.0,CIRCLEVILLE CLRKS AR,39.66,-83.05,39.66,-83.05,0,0
2019,03,808442,Thunderstorm Wind,50.0,0.0,SLOCOMB,31.08,-85.59,31.08,-85.59,0,0
2019,03,808443,Thunderstorm Wind,20.0,0.0,GARRETTS CROSSROADS,31.07,-85.42,31.07,-85.42,0,0
2019,03,800495,Thunderstorm Wind,,,BROCKDELL,35.56,-85.32,35.56,-85.32,0,0
2019,03,800496,Thunderstorm Wind,,,CAGLE,35.48,-85.46,35.48,-85.46,0,0
2019,03,800497,Thunderstorm Wind,,,CAGLE,35.48,-85.46,35.48,-85.46,0,0
2019,03,800498,Thunderstorm Wind,,,PIKEVILLE,35.61,-85.19,35.61,-85.19,0,0
2019,03,810844,Thunderstorm Wind,0.0,0.0,PLEASANT RIDGE,30.7055,-86.1617,30.7055,-86.1617,0,0
2019,03,808686,Thunderstorm Wind,3.0,0.0,RISING STAR,32.11,-98.97,32.11,-98.97,0,0
2019,03,808687,Thunderstorm Wind,5.0,0.0,BRYSON,33.17,-98.38,33.17,-98.38,0,0
2019,03,803339,Thunderstorm Wind,2.0,0.0,TARLTON,39.55,-82.78,39.55,-82.78,0,0
2019,03,803340,Thunderstorm Wind,2.0,0.0,MILLPORT,39.72,-82.97,39.72,-82.97,0,0
2019,03,803341,Thunderstorm Wind,0.0,0.0,HEATH,40.02,-82.46,40.02,-82.46,0,0
2019,03,803343,Thunderstorm Wind,3.0,0.0,BYINGTON,39.12,-83.32,39.12,-83.32,0,0
2019,03,803344,Thunderstorm Wind,3.0,0.0,MORGANTOWN,39.15,-83.19,39.15,-83.19,0,0
2019,03,803348,Thunderstorm Wind,8.0,0.0,BUCKLAND,40.61,-84.24,40.61,-84.24,0,0
2019,03,807725,Thunderstorm Wind,3.0,0.0,SUMMIT STATION,40.0133,-82.745,40.0133,-82.745,0,0
2019,03,807729,Thunderstorm Wind,4.0,0.0,HIGGINSPORT,38.7906,-83.971,38.7906,-83.971,0,0
2019,03,807730,Thunderstorm Wind,2.0,0.0,FLEATOWN,39.997,-82.6743,39.997,-82.6743,0,0
2019,03,808445,Thunderstorm Wind,3.0,0.0,HODGESVILLE,31.07,-85.35,31.07,-85.35,0,0
2019,03,808446,Thunderstorm Wind,0.0,0.0,CROSBY,31.07,-85.1,31.07,-85.1,0,0
2019,03,804369,Thunderstorm Wind,0.0,0.0,REDLAND,33.0188,-93.6763,33.0188,-93.6763,0,0
2019,03,815088,Thunderstorm Wind,0.0,0.0,TITUS,32.72,-86.33,32.72,-86.33,0,0
2019,03,815095,Thunderstorm Wind,0.0,0.0,SADIS,32.2861,-86.9867,32.2861,-86.9867,0,0
2019,03,815431,Thunderstorm Wind,1.0,0.0,FT WORTH MANGHAM ARP,32.8471,-97.2144,32.8471,-97.2144,0,0
2019,03,804393,Thunderstorm Wind,0.0,0.0,HAYNESVILLE,32.9652,-93.1376,32.9652,-93.1376,0,0
2019,03,814153,Thunderstorm Wind,12.0,0.0,PEKIN,40.57,-89.63,40.57,-89.63,0,0
2019,03,812591,Thunderstorm Wind,2.0,0.0,BRUSHY,35.5445,-94.7364,35.5445,-94.7364,0,0
2019,03,812592,Thunderstorm Wind,5.0,0.0,HOMINY,36.415,-96.3957,36.415,-96.3957,0,0
2019,03,812593,Thunderstorm Wind,0.0,0.0,PEARSONIA,36.8405,-96.4278,36.8405,-96.4278,0,0
2019,03,814099,Thunderstorm Wind,100.0,0.0,CONWAY,35.09,-92.45,35.09,-92.45,0,0
2019,03,814100,Thunderstorm Wind,0.0,0.0,OAKLAND HGTS,35.27,-93.14,35.27,-93.14,0,0
2019,03,814102,Thunderstorm Wind,0.0,0.0,PARIS,35.29,-93.72,35.29,-93.72,0,0
2019,03,814103,Thunderstorm Wind,0.0,0.0,CLARKSVILLE,35.46,-93.47,35.46,-93.47,0,0
2019,03,814104,Thunderstorm Wind,0.0,0.0,SHERWOOD,34.83,-92.21,34.83,-92.21,0,0
2019,03,814105,Thunderstorm Wind,0.0,0.0,HAMITER,34.64,-92.1,34.64,-92.1,0,0
2019,03,804395,Thunderstorm Wind,0.0,0.0,BRYCELAND,32.4516,-92.9891,32.4516,-92.9891,0,0
2019,03,815368,Thunderstorm Wind,0.0,0.0,ROLLING PRAIRIE,41.65,-86.66,41.65,-86.66,0,0
2019,03,815370,Thunderstorm Wind,0.0,0.0,(GSH)GOSHEN ARPT,41.52,-85.79,41.52,-85.79,0,0
2019,03,814106,Thunderstorm Wind,150.0,0.0,WAMPOO,34.61,-92.1,34.61,-92.1,0,0
2019,03,814107,Thunderstorm Wind,2.0,0.0,SWIFTON,35.82,-91.13,35.82,-91.13,0,0
2019,03,814109,Thunderstorm Wind,0.0,0.0,ALICIA,35.89,-91.05,35.89,-91.05,0,0
2019,03,814111,Thunderstorm Wind,0.0,0.0,DE VALLS BLUFF,34.79,-91.46,34.79,-91.46,0,0
2019,03,803585,Thunderstorm Wind,0.0,0.0,METHAM,40.36,-81.97,40.36,-81.97,0,0
2019,03,806155,Thunderstorm Wind,0.0,0.0,KILGORE,32.3708,-94.8625,32.3708,-94.8625,0,0
2019,03,815371,Thunderstorm Wind,0.0,0.0,(SBN)MICHIANA ARPT S,41.71,-86.31,41.71,-86.31,0,0
2019,03,815383,Thunderstorm Wind,0.0,0.0,DOWAGIAC,42.0,-86.08,42.0,-86.08,0,0
2019,03,812837,Thunderstorm Wind,0.0,0.0,SAND SPGS,36.1407,-96.1109,36.1407,-96.1109,0,0
