BEGIN_YEAR,BEGIN_MONTH,BEGIN_DAY,EVENT_ID,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,FLOOD_CAUSE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
2019,02,23,810971,February,Flash Flood,0,0,0,0,10.00K,0.00K,Heavy Rain,BLACKMAN,35.8624,-86.535,35.9061,-86.4241
2019,02,23,810972,February,Flash Flood,0,0,0,0,329.89K,0.00K,Heavy Rain,RED HILL,35.4606,-86.0589,35.4445,-86.0604
2019,03,13,811829,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,CAPITOL HGTS,41.61,-93.57,41.56,-93.54
2019,03,14,811830,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,LEWIS,41.28,-95.07,41.43,-94.95
2019,03,14,813014,March,Flood,0,0,0,0,100.00K,100.00K,Heavy Rain / Snow Melt,BEAN LAKE,39.5295,-95.1061,39.3187,-94.9616
2019,03,6,801322,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,CLARAVILLE,35.3822,-118.4114,35.3828,-118.4109
2019,03,14,807232,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,SAVAH,38.02,-87.98,38.1231,-87.9379
2019,03,12,807234,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,HAZLETON,38.48,-87.53,38.4931,-87.4569
2019,03,11,807240,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,PETERSBURG,38.5,-87.28,38.5382,-87.1957
2019,03,24,807410,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,DU QUOIN,38.0345,-89.23,38.02,-89.2484
2019,03,14,807424,March,Flash Flood,0,0,0,0,25.00K,0.00K,Heavy Rain,MAYFIELD,36.7263,-88.6073,36.7213,-88.6539
2019,03,15,811803,March,Flood,0,0,0,0,0.00K,0.00K,Ice Jam,ROBERTS,42.42,-94.21,42.3,-94.05
2019,03,16,811804,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,ROBERTS,42.42,-94.21,42.3,-94.05
2019,03,14,811827,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,WELLINGFORD,43.26,-94.83,43.26,-94.71
2019,02,14,810199,February,Flash Flood,0,0,0,0,15.00M,0.00K,Heavy Rain,PINE COVE,33.7972,-116.7612,33.8003,-116.7388
2019,02,22,799723,February,Flash Flood,0,0,0,0,8.00K,0.00K,Heavy Rain,SAPA,33.54,-89.2,33.5471,-89.199
2019,02,22,810945,February,Flash Flood,0,0,0,0,5.00K,0.00K,Heavy Rain,HOLLYKNOWE,33.4065,-90.8772,33.3944,-90.9589
2019,02,22,799718,February,Flash Flood,0,0,0,0,50.00K,0.00K,Heavy Rain,DUNCANS CROSSING,33.75,-90.0,33.6523,-89.9915
